0.0.0.0,68,255.255.255.255,67,udp,0.0,342,,0
100.22.103.209,443,192.168.50.154,63338,tcp,10.122915029525757,4714,,0
100.23.228.58,443,192.168.50.154,63158,tcp,10.133450508117676,4791,,0
100.50.251.221,443,192.168.50.154,59703,tcp,60.2479407787323,7993,,0
100.51.143.210,443,192.168.50.154,55175,tcp,60.16742157936096,5877,,0
100.92.106.243,0,192.168.50.154,0,udp,0.0,134,,0
104.18.156.37,443,192.168.50.154,57810,tcp,279.95654129981995,450,,0
104.18.156.37,443,192.168.50.154,58540,tcp,241.0529749393463,23094,,0
13.104.183.119,0,192.168.50.154,0,udp,0.0,134,,0
13.107.253.66,443,192.168.50.154,58336,tcp,90.10261344909668,71353,,0
13.107.253.66,443,192.168.50.154,59033,tcp,90.10277557373047,9281,,0
13.107.5.93,443,192.168.50.154,64039,tcp,126.96114897727966,7504,,0
13.107.5.93,443,192.168.50.154,64231,tcp,4.567048788070679,12975,,0
13.217.251.231,443,192.168.50.154,51271,tcp,60.168142557144165,5877,,0
13.226.251.118,443,192.168.50.154,50295,tcp,240.07153987884521,2968,,0
13.226.251.118,443,192.168.50.154,63270,tcp,45.17538905143738,2625,,0
13.226.251.29,443,192.168.50.154,59466,tcp,0.17026662826538086,6885,,0
13.226.251.37,443,192.168.50.154,63274,tcp,0.06311392784118652,1759,,0
13.226.251.47,443,192.168.50.154,55288,tcp,0.41588759422302246,6808,,0
13.226.251.47,443,192.168.50.154,55290,tcp,0.22571802139282227,6381,,0
13.226.251.47,443,192.168.50.154,58340,tcp,0.2249765396118164,6381,,0
13.226.251.47,443,192.168.50.154,58341,tcp,0.18707275390625,6327,,0
13.226.251.47,443,192.168.50.154,58343,tcp,0.21487641334533691,6327,,0
13.226.251.47,443,192.168.50.154,58344,tcp,0.24692511558532715,6327,,0
13.226.251.47,443,192.168.50.154,58345,tcp,0.2252354621887207,6249,,0
13.226.251.47,443,192.168.50.154,59888,tcp,0.1998119354248047,6327,,0
13.226.251.47,443,192.168.50.154,60317,tcp,0.430814266204834,6249,,0
13.226.251.5,443,192.168.50.154,53277,tcp,240.07483315467834,2914,,0
13.226.251.5,443,192.168.50.154,56313,tcp,240.06627583503723,2967,,0
13.226.251.5,443,192.168.50.154,60315,tcp,240.06864047050476,2914,,0
13.226.251.57,443,192.168.50.154,55241,tcp,14.841947078704834,267,,0
13.226.251.57,443,192.168.50.154,55695,tcp,100.22267150878906,4252,,0
13.226.251.64,443,192.168.50.154,51812,tcp,240.06759881973267,2967,,0
13.226.251.74,443,192.168.50.154,58537,tcp,0.23418092727661133,6249,,0
13.226.251.74,443,192.168.50.154,58544,tcp,0.21368026733398438,6327,,0
13.226.251.74,443,192.168.50.154,58546,tcp,0.22168684005737305,6327,,0
13.226.251.74,443,192.168.50.154,58547,tcp,0.20705485343933105,6327,,0
13.226.251.74,443,192.168.50.154,58548,tcp,0.1885206699371338,8281,,0
13.226.251.74,443,192.168.50.154,58550,tcp,0.22948241233825684,6327,,0
13.226.251.74,443,192.168.50.154,62101,tcp,0.23505425453186035,6531,,0
13.226.251.74,443,192.168.50.154,62102,tcp,0.1882944107055664,8287,,0
13.226.251.74,443,192.168.50.154,62105,tcp,0.19921612739562988,6373,,0
13.226.251.74,443,192.168.50.154,62106,tcp,0.4344017505645752,6378,,0
13.226.251.74,443,192.168.50.154,62108,tcp,0.20241189002990723,6296,,0
13.226.251.74,443,192.168.50.154,62109,tcp,0.19066929817199707,6333,,0
13.226.251.74,443,192.168.50.154,62110,tcp,0.2141425609588623,6309,,0
13.226.251.74,443,192.168.50.154,62111,tcp,0.19902467727661133,6394,,0
13.226.251.74,443,192.168.50.154,62112,tcp,0.20130515098571777,6346,,0
13.226.251.74,443,192.168.50.154,62113,tcp,0.20556259155273438,8197,,0
13.226.251.74,443,192.168.50.154,62114,tcp,0.19761991500854492,6378,,0
13.226.251.74,443,192.168.50.154,62115,tcp,0.22792768478393555,6327,,0
13.226.251.74,443,192.168.50.154,62117,tcp,0.20183396339416504,6587,,0
13.226.251.74,443,192.168.50.154,62119,tcp,0.19005894660949707,6373,,0
13.226.251.89,443,192.168.50.154,50666,tcp,0.23033475875854492,6327,,0
13.226.251.89,443,192.168.50.154,51750,tcp,0.20077776908874512,6327,,0
13.226.251.89,443,192.168.50.154,53283,tcp,0.22763347625732422,6381,,0
13.226.251.89,443,192.168.50.154,53284,tcp,0.1872391700744629,6327,,0
13.226.251.89,443,192.168.50.154,53286,tcp,0.4524691104888916,6357,,0
13.226.251.89,443,192.168.50.154,60812,tcp,0.19784307479858398,6303,,0
13.226.251.89,443,192.168.50.154,60813,tcp,0.201751708984375,6303,,0
13.226.251.89,443,192.168.50.154,60815,tcp,0.2111339569091797,6327,,0
13.226.251.89,443,192.168.50.154,60816,tcp,0.22618460655212402,6327,,0
13.226.251.89,443,192.168.50.154,60817,tcp,0.2003779411315918,6327,,0
13.226.251.89,443,192.168.50.154,60818,tcp,0.19440770149230957,8281,,0
13.226.251.89,443,192.168.50.154,63819,tcp,0.23384308815002441,6327,,0
13.226.251.89,443,192.168.50.154,63820,tcp,0.23018980026245117,6327,,0
13.226.251.89,443,192.168.50.154,64234,tcp,0.20241308212280273,8287,,0
13.226.251.9,443,192.168.50.154,50687,tcp,0.21020817756652832,6327,,0
13.226.251.95,443,192.168.50.154,62020,tcp,149.89522099494934,465,,0
13.89.179.13,443,192.168.50.154,61575,tcp,109.77643299102783,7592,,0
13.89.179.8,443,192.168.50.154,52875,tcp,3.6282033920288086,7225,,0
13.89.179.8,443,192.168.50.154,52876,tcp,100.70533514022827,7592,,0
140.82.112.26,443,192.168.50.154,57697,tcp,1140.2035114765167,8180,,0
140.82.112.26,443,192.168.50.154,58277,tcp,2.213075637817383,4528,,0
140.82.112.3,443,192.168.50.154,55485,tcp,30.19368553161621,14216,,0
140.82.112.4,443,192.168.50.154,60682,tcp,0.3288390636444092,5328,,0
140.82.112.4,443,192.168.50.154,60685,tcp,0.27530431747436523,5413,,0
140.82.112.5,443,192.168.50.154,58535,tcp,30.43274974822998,5672,,0
140.82.113.26,443,192.168.50.154,61449,tcp,1156.9313850402832,4196,,0
140.82.113.5,443,192.168.50.154,52083,tcp,11.821545362472534,5220,,0
140.82.113.5,443,192.168.50.154,54930,tcp,30.264132738113403,5271,,0
140.82.113.6,443,192.168.50.154,50060,tcp,30.25196671485901,5219,,0
140.82.113.6,443,192.168.50.154,62676,tcp,31.208858251571655,8745,,0
140.82.114.25,443,192.168.50.154,53049,tcp,1380.2119717597961,8982,,0
140.82.114.25,443,192.168.50.154,59566,tcp,2.2294182777404785,4526,,0
140.82.114.26,443,192.168.50.154,51709,tcp,916.9518518447876,3393,,0
140.82.114.5,443,192.168.50.154,53950,tcp,30.246240377426147,5641,,0
140.82.114.6,443,192.168.50.154,52764,tcp,30.273179054260254,5167,,0
140.82.114.6,443,192.168.50.154,63817,tcp,30.2689528465271,5275,,0
142.250.125.84,443,192.168.50.154,52913,udp,0.21851062774658203,8956,,0
142.250.188.36,443,192.168.50.154,57394,udp,0.026705026626586914,4321,,0
142.250.188.42,443,192.168.50.154,52688,udp,0.19673800468444824,6432,,0
142.250.188.42,443,192.168.50.154,58338,tcp,0.17452692985534668,6453,,0
142.250.188.42,443,192.168.50.154,58339,tcp,0.1785411834716797,6452,,0
142.250.188.42,443,192.168.50.154,58342,tcp,0.16727519035339355,6398,,0
142.250.188.42,443,192.168.50.154,60814,tcp,0.18687820434570312,6452,,0
142.250.188.42,443,192.168.50.154,60820,tcp,0.18679189682006836,6506,,0
142.250.188.42,443,192.168.50.154,60822,tcp,0.38646507263183594,6344,,0
142.250.188.46,443,192.168.50.154,54117,udp,0.14127445220947266,8996,,0
142.250.188.46,443,192.168.50.154,56262,udp,0.06319379806518555,7590,,0
142.250.188.46,443,192.168.50.154,56548,udp,0.09765768051147461,7675,,0
142.250.188.46,443,192.168.50.154,59541,udp,0.09378743171691895,7705,,0
142.250.188.46,443,192.168.50.154,64134,udp,0.11833024024963379,9219,,0
142.250.188.46,443,192.168.50.154,64602,udp,0.07755637168884277,7780,,0
142.250.72.195,80,192.168.50.154,55696,tcp,60.428961992263794,728,,0
142.250.72.195,443,192.168.50.154,64117,tcp,11.719777822494507,7290,,0
142.250.72.202,443,192.168.50.154,49418,udp,0.06474661827087402,6103,,0
142.250.72.202,443,192.168.50.154,53278,tcp,0.7054991722106934,6452,,0
142.250.72.202,443,192.168.50.154,53281,tcp,0.10665369033813477,6398,,0
142.250.72.202,443,192.168.50.154,53285,tcp,0.18006253242492676,6560,,0
142.250.72.202,443,192.168.50.154,53532,udp,0.07808709144592285,4740,,0
142.250.72.202,443,192.168.50.154,54236,udp,0.07660746574401855,6111,,0
142.250.72.202,443,192.168.50.154,56947,tcp,0.15749120712280273,6505,,0
142.250.72.202,443,192.168.50.154,57448,udp,0.061570167541503906,4731,,0
142.250.72.202,443,192.168.50.154,58162,udp,0.0773468017578125,4737,,0
142.250.72.202,443,192.168.50.154,62506,udp,0.21730804443359375,6492,,0
142.250.72.202,443,192.168.50.154,63582,udp,880.3374493122101,26136,,0
142.250.72.202,443,192.168.50.154,63985,udp,0.054778099060058594,6110,,0
142.250.72.202,443,192.168.50.154,64233,tcp,0.16272711753845215,6452,,0
142.250.72.206,80,192.168.50.154,64114,tcp,100.10116696357727,1942,,0
142.250.72.206,443,192.168.50.154,49354,udp,0.1408987045288086,9135,,0
142.250.72.206,443,192.168.50.154,51399,udp,0.13331890106201172,7732,,0
142.250.72.206,443,192.168.50.154,52380,udp,0.07662796974182129,7543,,0
142.250.72.206,443,192.168.50.154,55293,udp,0.07996773719787598,7692,,0
142.250.72.206,443,192.168.50.154,59634,udp,0.07193112373352051,7651,,0
142.250.72.206,443,192.168.50.154,60924,udp,0.1006319522857666,9077,,0
142.250.72.206,443,192.168.50.154,61611,udp,0.11107182502746582,7775,,0
142.250.72.206,443,192.168.50.154,63893,udp,0.06154131889343262,7798,,0
142.251.153.119,443,192.168.50.154,55938,udp,0.040891408920288086,4323,,0
142.251.153.119,443,192.168.50.154,55957,udp,0.03128790855407715,4324,,0
142.251.156.119,443,192.168.50.154,60376,udp,0.02565312385559082,5695,,0
142.251.183.188,5228,192.168.50.154,58952,tcp,2294.8164665699005,3636,,0
142.251.183.84,443,192.168.50.154,50449,udp,0.21143388748168945,9403,,0
142.251.183.84,443,192.168.50.154,54854,udp,0.21608519554138184,8137,,0
142.251.35.132,443,192.168.50.154,64816,udp,0.02637648582458496,5703,,0
142.251.35.138,443,192.168.50.154,49439,udp,0.1027834415435791,6172,,0
142.251.35.138,443,192.168.50.154,50542,udp,0.06572794914245605,6107,,0
142.251.35.138,443,192.168.50.154,50664,tcp,0.18170785903930664,6572,,0
142.251.35.138,443,192.168.50.154,50665,tcp,0.17645573616027832,6453,,0
142.251.35.138,443,192.168.50.154,56314,tcp,0.31856775283813477,6397,,0
142.251.35.138,443,192.168.50.154,62103,tcp,0.15228056907653809,6507,,0
142.251.35.138,443,192.168.50.154,62116,tcp,0.4239182472229004,6398,,0
142.251.35.138,443,192.168.50.154,62118,tcp,0.3804006576538086,6399,,0
142.251.35.138,443,192.168.50.154,62120,tcp,0.1743149757385254,6452,,0
142.251.35.138,443,192.168.50.154,62122,tcp,0.19838309288024902,6452,,0
142.251.35.138,443,192.168.50.154,62123,tcp,0.40091657638549805,6397,,0
142.251.35.138,443,192.168.50.154,63448,udp,0.11275768280029297,7269,,0
142.251.35.138,443,192.168.50.154,65307,udp,0.05667304992675781,4746,,0
142.251.35.138,443,192.168.50.154,65391,udp,0.06337213516235352,6182,,0
142.251.35.142,80,192.168.50.154,57960,tcp,101.03398728370667,5478,,0
142.251.35.142,443,192.168.50.154,54413,udp,0.07099437713623047,9141,,0
142.251.46.138,443,192.168.50.154,58545,tcp,0.18964505195617676,6505,,0
142.251.46.138,443,192.168.50.154,60390,udp,1464.2424793243408,24483,,0
142.251.46.142,443,192.168.50.154,50762,udp,0.07829976081848145,7834,,0
142.251.46.142,443,192.168.50.154,59511,udp,0.10229158401489258,7832,,0
142.251.46.142,443,192.168.50.154,60982,udp,0.12934327125549316,9250,,0
142.251.46.142,443,192.168.50.154,64522,udp,0.10359311103820801,7611,,0
150.171.109.225,443,192.168.50.154,53869,tcp,90.10087776184082,78920,,0
150.171.109.225,443,192.168.50.154,54331,tcp,90.10629796981812,71407,,0
150.171.109.225,443,192.168.50.154,56717,tcp,90.10988998413086,78962,,0
150.171.109.225,443,192.168.50.154,60816,tcp,90.0927255153656,78908,,0
150.171.109.226,443,192.168.50.154,55287,tcp,90.09646272659302,79017,,0
150.171.109.226,443,192.168.50.154,56946,tcp,90.1123697757721,11550,,0
150.171.109.226,443,192.168.50.154,63594,tcp,90.39785814285278,79071,,0
150.171.109.227,443,192.168.50.154,62293,tcp,90.13637208938599,79061,,0
150.171.109.227,443,192.168.50.154,64230,tcp,90.13290929794312,2068,,0
162.151.50.149,0,192.168.50.154,0,udp,0.0,134,,0
162.151.50.69,0,192.168.50.154,0,udp,0.0,134,,0
162.254.195.75,27018,192.168.50.154,54545,tcp,2330.8207874298096,24114,,0
17.253.23.203,80,192.168.50.154,55701,tcp,60.0451123714447,540,,0
172.64.151.57,443,192.168.50.154,57813,tcp,279.9141502380371,450,,0
172.64.151.57,443,192.168.50.154,58543,tcp,240.1678593158722,5936,,0
173.194.206.84,443,192.168.50.154,63991,udp,0.20218420028686523,8035,,0
18.154.101.114,443,192.168.50.154,58128,tcp,240.0133457183838,504,,0
18.154.101.114,443,192.168.50.154,59348,tcp,240.0029284954071,504,,0
18.154.101.114,443,192.168.50.154,61978,tcp,0.04955101013183594,4889,,0
18.154.101.114,443,192.168.50.154,63096,tcp,239.97301864624023,504,,0
18.160.143.39,443,192.168.50.154,54867,udp,0.09928584098815918,12503,,0
18.160.143.6,443,192.168.50.154,62107,tcp,2340.604946374893,68166,,0
18.214.184.253,443,192.168.50.154,52857,tcp,60.19141912460327,1369,,0
18.238.136.26,443,192.168.50.154,51751,tcp,0.10744309425354004,900,,0
18.238.136.26,443,192.168.50.154,51752,tcp,100.06484508514404,1232,,0
18.238.136.26,443,192.168.50.154,55694,tcp,100.09425449371338,1028,,0
18.238.136.26,443,192.168.50.154,59885,tcp,0.18321490287780762,846,,0
18.238.136.26,443,192.168.50.154,59886,tcp,100.08476114273071,1177,,0
18.238.136.26,443,192.168.50.154,63818,tcp,100.07608437538147,1082,,0
18.238.136.87,443,192.168.50.154,50667,tcp,0.11324858665466309,846,,0
18.238.136.87,443,192.168.50.154,50668,tcp,100.06924486160278,1178,,0
18.238.136.87,443,192.168.50.154,61976,tcp,0.10270476341247559,846,,0
18.238.136.87,443,192.168.50.154,61977,tcp,100.07492089271545,1177,,0
18.238.136.87,443,192.168.50.154,63271,tcp,0.03579068183898926,974,,0
18.238.136.88,443,192.168.50.154,61148,udp,0.24752593040466309,29210,,0
18.238.176.24,443,192.168.50.154,59883,tcp,240.21499729156494,1737969,,0
18.238.176.91,443,192.168.50.154,63113,tcp,240.00085067749023,519,,0
184.30.89.225,443,192.168.50.154,59821,tcp,500.03566336631775,900,,0
192.168.50.1,0,224.0.0.1,0,udp,2340.1527230739594,6136,,0
192.168.50.1,53,192.168.50.154,49171,udp,0.0,302,,0
192.168.50.1,53,192.168.50.154,49198,udp,0.0,218,,0
192.168.50.1,53,192.168.50.154,49325,udp,101.14316129684448,446,,0
192.168.50.1,53,192.168.50.154,49343,udp,0.0,164,,0
192.168.50.1,53,192.168.50.154,49431,udp,0.0,251,,0
192.168.50.1,53,192.168.50.154,49458,udp,0.0,220,,0
192.168.50.1,53,192.168.50.154,49536,udp,0.0,152,,0
192.168.50.1,53,192.168.50.154,49587,udp,0.0,141,,0
192.168.50.1,53,192.168.50.154,49623,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,49746,udp,0.0,164,,0
192.168.50.1,53,192.168.50.154,49850,udp,0.0,164,,0
192.168.50.1,53,192.168.50.154,49878,udp,0.0,107,,0
192.168.50.1,53,192.168.50.154,49982,udp,0.0,129,,0
192.168.50.1,53,192.168.50.154,49992,udp,0.0,141,,0
192.168.50.1,53,192.168.50.154,50155,udp,0.0,196,,0
192.168.50.1,53,192.168.50.154,50298,udp,0.0,160,,0
192.168.50.1,53,192.168.50.154,50347,udp,0.0,111,,0
192.168.50.1,53,192.168.50.154,50420,udp,0.0,141,,0
192.168.50.1,53,192.168.50.154,50524,udp,0.0,219,,0
192.168.50.1,53,192.168.50.154,50618,udp,0.0,129,,0
192.168.50.1,53,192.168.50.154,50643,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,50656,udp,0.0,129,,0
192.168.50.1,53,192.168.50.154,50660,udp,0.0,160,,0
192.168.50.1,53,192.168.50.154,50693,udp,0.0,197,,0
192.168.50.1,53,192.168.50.154,50791,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,50825,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,50942,udp,0.0,283,,0
192.168.50.1,53,192.168.50.154,51015,udp,0.0,179,,0
192.168.50.1,53,192.168.50.154,51031,udp,0.0,90,,0
192.168.50.1,53,192.168.50.154,51032,udp,0.0,216,,0
192.168.50.1,53,192.168.50.154,51258,udp,262.0092124938965,4373,,0
192.168.50.1,53,192.168.50.154,51270,udp,197.54512691497803,2221,,0
192.168.50.1,53,192.168.50.154,51472,udp,0.0,179,,0
192.168.50.1,53,192.168.50.154,51510,udp,0.0,95,,0
192.168.50.1,53,192.168.50.154,51549,udp,0.0,220,,0
192.168.50.1,53,192.168.50.154,51579,udp,0.0,206,,0
192.168.50.1,53,192.168.50.154,51625,udp,0.0,152,,0
192.168.50.1,53,192.168.50.154,51664,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,51678,udp,241.6603696346283,1864,,0
192.168.50.1,53,192.168.50.154,51689,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,51706,udp,0.0,152,,0
192.168.50.1,53,192.168.50.154,51811,udp,76.96613883972168,730,,0
192.168.50.1,53,192.168.50.154,51827,udp,0.0,129,,0
192.168.50.1,53,192.168.50.154,51890,udp,0.0,302,,0
192.168.50.1,53,192.168.50.154,51961,udp,0.0,283,,0
192.168.50.1,53,192.168.50.154,51980,udp,0.0,107,,0
192.168.50.1,53,192.168.50.154,52007,udp,0.0,302,,0
192.168.50.1,53,192.168.50.154,52217,udp,0.0,184,,0
192.168.50.1,53,192.168.50.154,52433,udp,0.0,443,,0
192.168.50.1,53,192.168.50.154,52456,udp,0.0,90,,0
192.168.50.1,53,192.168.50.154,52609,udp,0.0,158,,0
192.168.50.1,53,192.168.50.154,52638,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,52709,udp,0.0,242,,0
192.168.50.1,53,192.168.50.154,52748,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,52750,udp,0.0,216,,0
192.168.50.1,53,192.168.50.154,52754,udp,0.0,255,,0
192.168.50.1,53,192.168.50.154,52841,udp,0.0,206,,0
192.168.50.1,53,192.168.50.154,52871,udp,0.0,216,,0
192.168.50.1,53,192.168.50.154,52906,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,52963,udp,0.0,90,,0
192.168.50.1,53,192.168.50.154,53028,udp,0.0,268,,0
192.168.50.1,53,192.168.50.154,53055,udp,0.0,95,,0
192.168.50.1,53,192.168.50.154,53386,udp,0.0,107,,0
192.168.50.1,53,192.168.50.154,53392,udp,0.0,216,,0
192.168.50.1,53,192.168.50.154,53400,udp,0.0,433,,0
192.168.50.1,53,192.168.50.154,53459,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,53495,udp,0.0,164,,0
192.168.50.1,53,192.168.50.154,53546,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,53570,udp,0.0,152,,0
192.168.50.1,53,192.168.50.154,53577,udp,0.0,155,,0
192.168.50.1,53,192.168.50.154,53594,udp,0.0,95,,0
192.168.50.1,53,192.168.50.154,53724,udp,0.0,218,,0
192.168.50.1,53,192.168.50.154,53817,udp,0.0,283,,0
192.168.50.1,53,192.168.50.154,53840,udp,0.0,216,,0
192.168.50.1,53,192.168.50.154,53997,udp,0.0,283,,0
192.168.50.1,53,192.168.50.154,54011,udp,0.0,220,,0
192.168.50.1,53,192.168.50.154,54357,udp,0.0,107,,0
192.168.50.1,53,192.168.50.154,54379,udp,0.0,90,,0
192.168.50.1,53,192.168.50.154,54460,udp,0.8133597373962402,417,,0
192.168.50.1,53,192.168.50.154,54465,udp,0.0,139,,0
192.168.50.1,53,192.168.50.154,54467,udp,0.0,141,,0
192.168.50.1,53,192.168.50.154,54527,udp,0.0,197,,0
192.168.50.1,53,192.168.50.154,54629,udp,0.0,219,,0
192.168.50.1,53,192.168.50.154,54630,udp,0.0,143,,0
192.168.50.1,53,192.168.50.154,54694,udp,0.0,160,,0
192.168.50.1,53,192.168.50.154,54759,udp,818.8282461166382,4467,,0
192.168.50.1,53,192.168.50.154,54798,udp,0.0,220,,0
192.168.50.1,53,192.168.50.154,54918,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,55014,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,55074,udp,0.0,253,,0
192.168.50.1,53,192.168.50.154,55095,udp,660.1510996818542,1081,,0
192.168.50.1,53,192.168.50.154,55211,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,55230,udp,0.0,251,,0
192.168.50.1,53,192.168.50.154,55236,udp,0.0,376,,0
192.168.50.1,53,192.168.50.154,55255,udp,0.0,206,,0
192.168.50.1,53,192.168.50.154,55284,udp,0.0,202,,0
192.168.50.1,53,192.168.50.154,55293,udp,510.132155418396,4509,,0
192.168.50.1,53,192.168.50.154,55320,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,55353,udp,0.0,302,,0
192.168.50.1,53,192.168.50.154,55507,udp,0.0,179,,0
192.168.50.1,53,192.168.50.154,55523,udp,0.0,179,,0
192.168.50.1,53,192.168.50.154,55728,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,55775,udp,0.0,160,,0
192.168.50.1,53,192.168.50.154,55838,udp,0.0,302,,0
192.168.50.1,53,192.168.50.154,56031,udp,0.0,206,,0
192.168.50.1,53,192.168.50.154,56034,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,56059,udp,0.0,152,,0
192.168.50.1,53,192.168.50.154,56080,udp,0.0,216,,0
192.168.50.1,53,192.168.50.154,56125,udp,0.0,219,,0
192.168.50.1,53,192.168.50.154,56172,udp,0.0,90,,0
192.168.50.1,53,192.168.50.154,56207,udp,0.0,111,,0
192.168.50.1,53,192.168.50.154,56256,udp,0.0,143,,0
192.168.50.1,53,192.168.50.154,56454,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,56505,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,56568,udp,0.0,216,,0
192.168.50.1,53,192.168.50.154,56653,udp,0.0,139,,0
192.168.50.1,53,192.168.50.154,56671,udp,0.0,139,,0
192.168.50.1,53,192.168.50.154,56789,udp,0.0,141,,0
192.168.50.1,53,192.168.50.154,56820,udp,0.0,90,,0
